"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0008380","RNA splicing",400,0.562200945050087,1.39455229025818,1.40162804525813e-07,0.000794582938856833,0.000739912068102054,2935,"tags=30%, list=22%, signal=25%","15387/11652/230257/11877/72692/59013/71514/14007/230908/19652/231413/214572/56361/70465/320632/16201/56706/74200/51796/218543/20384/67678/19826/14534/22687/67959/15481/50912/56070/75956/53379/19134/14265/170791/223527/19205/56724/66177/215051/68693/54614/67031/20637/69562/227707/217218/100039795/225027/319322/234373/53607/56258/19663/56844/231889/100683/216766/70767/102414/20815/245945/192160/12750/76479/20383/72397/93686/66094/231769/246103/56758/22668/56195/60532/66704/67755/56036/56275/70248/19655/20218/230753/13211/77411/15381/72502/80744/18139/380773/110809/56403/13046/328110/12747/77604/56194/76936/56790/66078/225160/101206/72459/66231/71973/81898/66053/12537/231386/209003/67836/114642/330361/67039/12748/22608/68879/53610/75710/74351/11758/66810/233073"
"GO:0006397","mRNA processing",441,0.548627216987292,1.36302592058848,4.38490050845228e-07,0.0012429000491208,0.00115738294999412,3921,"tags=38%, list=29%, signal=28%","214627/15387/230257/11877/83701/72692/59013/71514/14007/230908/19652/231413/214572/328162/56361/70465/320632/16201/18789/74200/51796/218543/20384/67678/19826/22687/67959/15481/50912/67772/75137/56070/75956/53379/72587/19134/14265/170791/15499/110532/19205/56724/66177/215051/68693/54614/67031/20637/69562/227707/225027/319322/234373/53607/19663/56844/231889/216766/70767/20815/245945/192160/54196/76479/20383/93686/66094/231769/67440/228410/56758/22668/224432/56195/60532/66704/56233/67755/66899/56275/70248/19655/20218/230753/13211/54194/77411/104836/15381/72502/80744/380773/224903/110809/56403/13046/432508/328110/56194/76936/225283/72133/66078/24018/225160/101471/72459/66231/71973/81898/101122/66053/231386/209003/67836/114642/330361/67039/21379/22608/68879/53610/74351/20492/11758/66810/103135/233073/210106/13207/70470/60321/22184/70233/66978/269966/12877/56215/192159/15382/74320/78943/19654/68991/108121/214498/269061/57905/98758/52477/20624/69131/15388/66921/78688/67242/68188/68272/68183/224902/73713/171170/20630/192196/100715/27981/11810/229279/28114"
"GO:1990868","response to chemokine",61,-0.513435899779406,-2.07014145511405,1.39141387636751e-05,0.00977212924490843,0.00909976291431995,973,"tags=38%, list=7%, signal=35%","15945/53416/20564/12145/13614/12766/23832/64095/59289/80901/18600/13051/12767/12775/20312/20296/20299/12772/16948/17329/18829/20304/100042493"
"GO:1990869","cellular response to chemokine",61,-0.513435899779406,-2.07014145511405,1.39141387636751e-05,0.00977212924490843,0.00909976291431995,973,"tags=38%, list=7%, signal=35%","15945/53416/20564/12145/13614/12766/23832/64095/59289/80901/18600/13051/12767/12775/20312/20296/20299/12772/16948/17329/18829/20304/100042493"
"GO:0010508","positive regulation of autophagy",154,0.608596699302257,1.48627482650586,1.55140524262085e-05,0.00977212924490843,0.00909976291431995,2804,"tags=31%, list=21%, signal=25%","69807/56484/16151/16145/50873/81601/98732/15289/12421/18475/19877/69635/26409/74270/67974/56367/74244/64930/12125/76681/225131/11740/59026/66839/54483/80280/105787/320311/12795/22084/22209/22333/101700/77040/434219/56637/237782/227738/23947/73205/268933/338364/67839/277854/15185/64113/22241/230895"
"GO:0043484","regulation of RNA splicing",164,0.605855545603892,1.47949000724789,1.52345275810544e-05,0.00977212924490843,0.00909976291431995,2173,"tags=34%, list=16%, signal=28%","15387/11652/230257/72692/59013/14007/19652/231413/70465/56706/51796/20384/19826/14534/22687/67959/15481/50912/53379/14265/170791/223527/19205/67031/20637/217218/100039795/225027/56258/19663/100683/102414/245945/12750/20383/72397/93686/231769/246103/56758/22668/56195/60532/56036/70248/19655/20218/230753/77411/18139/380773/110809/13046/12747/77604"
"GO:0000209","protein polyubiquitination",232,0.572168762276501,1.41116270162223,8.54481952027359e-06,0.00977212924490843,0.00909976291431995,2547,"tags=30%, list=19%, signal=24%","69807/210973/108089/66438/67338/50873/59008/226098/218793/12400/24105/70465/74126/83814/217069/18023/212123/16396/103737/671535/14897/268373/76681/105689/231600/56550/23807/68031/22214/52717/66498/59026/22129/140629/71538/26903/320311/68718/11798/56228/381305/56736/56438/22215/66105/22209/100503085/17999/70790/74493/19720/11796/268281/66412/76843/434219/68497/12189/66440/84585/78889/58230/227738/67128/75430/268933/106025/66053/338364"
"GO:0010506","regulation of autophagy",278,0.560386366279503,1.38434047776693,1.20182579235973e-05,0.00977212924490843,0.00909976291431995,2804,"tags=27%, list=21%, signal=21%","60440/69807/20787/56484/16151/74006/223453/59027/16145/50873/81601/14232/76482/98732/15289/12421/18475/19877/69635/26409/74270/67974/223649/56367/110147/74244/64930/12125/76681/16847/225131/11740/99412/59026/230674/66839/54483/80280/105787/224023/320311/74302/12795/22084/11549/12752/22209/18777/22333/101700/19720/232341/13690/22224/209815/77040/434219/71712/208643/56637/19025/237782/227738/23947/73205/107173/268933/338364/67839/277854/15185/64113/22241/230895"
"GO:0031329","regulation of cellular catabolic process",372,0.539941155934894,1.33876730296927,1.17403822590188e-05,0.00977212924490843,0.00909976291431995,2804,"tags=27%, list=21%, signal=22%","60440/69807/20787/11652/56484/16151/74006/66438/223453/59027/16145/50873/81601/14232/76482/98732/15289/12421/18475/54403/19877/16792/320204/56690/69635/14447/26409/77116/67758/74270/16396/67974/223649/56367/110147/74244/64930/12125/58805/76681/16847/225131/11740/99412/66113/13167/59026/100705/230674/66839/54483/11666/80280/105787/224023/16835/66853/320311/74302/12795/22084/20778/11549/12752/18639/22209/18777/22333/101700/19720/232341/13690/22224/209815/77040/434219/71712/208643/216963/56637/19025/237782/227738/20660/74257/23947/73205/107173/268933/338364/67839/56224/11305/277854/15185/21428/64113/22241/230895"
"GO:0050807","regulation of synapse organization",264,0.554763175681507,1.36970532394011,2.89051812184138e-05,0.0163863472327188,0.0152588930326679,2762,"tags=35%, list=21%, signal=28%","15387/233489/20692/26364/74006/74117/57138/208922/53972/18222/17356/17919/103967/19877/13048/20351/56508/15481/27494/18212/13631/13728/207683/12361/22359/241638/382253/12540/53872/16443/56724/170731/105689/58234/26556/217333/76089/56376/13841/170757/18002/67414/171171/319476/68404/14803/99633/245666/320747/108030/29819/59036/545156/22084/14360/13400/13542/80913/20430/12752/22215/26416/17999/20350/18015/19655/399558/320712/106042/13196/18187/232227/19878/208643/56637/396184/19281/442801/11538/76936/16180/13640/238130/18472/19229/19876/66610/18003/14182/18750/19280/66860/71228"
"GO:0070098","chemokine-mediated signaling pathway",51,-0.530827280465792,-2.13495409033732,4.57893309867884e-05,0.0216316431136753,0.0201432890262056,973,"tags=43%, list=7%, signal=40%","15945/53416/20564/12145/13614/12766/23832/64095/59289/80901/18600/13051/12767/12775/20312/20296/20299/12772/17329/18829/20304/100042493"
"GO:0050803","regulation of synapse structure or activity",268,0.552153784588702,1.36400424460145,4.46202127682067e-05,0.0216316431136753,0.0201432890262056,2762,"tags=35%, list=21%, signal=28%","15387/233489/20692/26364/74006/74117/57138/208922/53972/18222/17356/17919/103967/19877/13048/20351/56508/15481/27494/18212/13631/13728/207683/12361/22359/241638/382253/12540/53872/16443/56724/170731/105689/58234/26556/217333/76089/56376/13841/170757/18002/67414/171171/319476/68404/14803/99633/245666/320747/108030/29819/59036/545156/22084/14360/319613/13400/13542/80913/20430/12752/22215/26416/17999/20350/18015/19655/399558/320712/106042/13196/18187/232227/19878/208643/56637/396184/19281/442801/11538/76936/16180/13640/238130/18472/19229/19876/66610/18003/14182/18750/19280/66860/71228"
