"","SRR33445252","SRR33445253","SRR33445254","SRR33445260","SRR33445261","SRR33445262"
"ENSMUSG00000000001.4",1633.71379939433,2174.53507462642,1712.31574894861,2067.46341884424,2427.62900415616,1913.67607662812
"ENSMUSG00000000028.15",51.7394158715487,48.2361086778262,23.2169052055028,29.2666931448287,45.8314131984589,26.0542735950758
"ENSMUSG00000000031.16",66.9487841102441,26.6154486556811,51.156860948359,55.958357526848,10.2211134161568,11.1473991946762
"ENSMUSG00000000049.11",41799.6322061495,43841.7197110352,43365.0131886077,46511.6921231,53150.9514083021,49383.2330034405
"ENSMUSG00000000056.7",1158.14868297894,2210.42876596989,945.634000278304,1285.97197149062,1765.0205658711,1147.51782385992
"ENSMUSG00000000058.6",49.9130011282129,75.1034539713254,126.443606185658,75.1371530493294,100.174534596313,74.3578251870478
"ENSMUSG00000000078.7",296.50896019513,258.905151075739,407.417865316138,304.609892390173,359.284851689481,513.869344943453
"ENSMUSG00000000085.16",351.479829678134,340.164749315473,337.217967562071,208.329216027352,203.206393791925,195.092595572219
"ENSMUSG00000000088.7",2783.63632961351,3360.68881726198,2174.49831444382,2931.1225248663,3122.99364037004,2715.71132045624
"ENSMUSG00000000093.6",78.0774458587159,107.109604500821,107.633330652513,164.139034461243,204.041686192474,182.327734446278
"ENSMUSG00000000120.6",185.283723268753,61.0270549555833,338.908543445477,175.20653577261,101.546473007531,296.512509686622
"ENSMUSG00000000126.11",0,7.47208509718164,27.5729528174878,12.9090884357946,12.3365001739241,26.5491191515437
"ENSMUSG00000000127.15",210.735450950737,154.249342770231,249.416071701816,187.365513269062,187.602501283502,216.865456708612
"ENSMUSG00000000131.15",1198.57389775648,981.355161326983,752.48584704127,1145.99016226136,1268.23608835714,992.143499555895
"ENSMUSG00000000134.17",830.922546211005,804.865415862211,904.09201672487,727.595730626719,678.761349873871,644.935767928663
"ENSMUSG00000000142.15",408.083972343329,224.286513966414,467.098232356416,234.888289523891,249.560962371861,142.07338736551
"ENSMUSG00000000148.17",398.521217536636,274.816061235625,298.616546093335,307.496836171577,244.671692002797,294.109352202765
