"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","evidence_codes","intersection"
"Up-regulated",TRUE,0.0357368777765377,2,107,1,0.00934579439252336,0.5,"GO:0004372","GO:MF","glycine hydroxymethyltransferase activity",23512,704,"GO:0016742","IMP IGI ISS IEA","ENSMUSG00000020534"
"Up-regulated",TRUE,0.0357368777765377,2,107,1,0.00934579439252336,0.5,"GO:0004020","GO:MF","adenylylsulfate kinase activity",23512,499,"GO:0016301;GO:0016773","IDA IMP IEA","ENSMUSG00000024899"
"Up-regulated",TRUE,0.0357368777765377,2,107,1,0.00934579439252336,0.5,"GO:0030881","GO:MF","beta-2-microglobulin binding",23512,3776,"GO:0005515","ISS IEA","ENSMUSG00000026471"
"Up-regulated",TRUE,0.0357368777765377,2,107,1,0.00934579439252336,0.5,"GO:0004450","GO:MF","isocitrate dehydrogenase (NADP+) activity",23512,757,"GO:0004448","IDA ISS IEA","ENSMUSG00000030541"
"Up-regulated",TRUE,0.0357368777765377,2,107,1,0.00934579439252336,0.5,"GO:0017159","GO:MF","pantetheine hydrolase activity",23512,3073,"GO:0016811","IDA IEA","ENSMUSG00000020010"
"Up-regulated",TRUE,0.0357368777765377,1629,107,15,0.14018691588785,0.00920810313075507,"GO:0030554","GO:MF","adenyl nucleotide binding",23512,3665,"GO:0017076","IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA","ENSMUSG00000006494,ENSMUSG00000016194,ENSMUSG00000020532,ENSMUSG00000020917,ENSMUSG00000024130,ENSMUSG00000024899,ENSMUSG00000027605,ENSMUSG00000027952,ENSMUSG00000030541,ENSMUSG00000032418,ENSMUSG00000032849,ENSMUSG00000037370,ENSMUSG00000040181,ENSMUSG00000040584,ENSMUSG00000042010"
"Up-regulated",TRUE,0.0357368777765377,2326,107,19,0.177570093457944,0.00816852966466036,"GO:0016787","GO:MF","hydrolase activity",23512,2894,"GO:0003824","IMP ISS IEA,IDA IEA,IDA IEA,IEA,ISS IEA,IEA,IDA ISS IEA,IDA IMP IGI ISS ISO IEA,IDA IMP ISS IEA,IEA,IEA,IEA,IEA,IDA IEA,ISS IEA,ISS IEA,IDA IMP TAS IEA,ISS IEA,IEA","ENSMUSG00000002588,ENSMUSG00000002847,ENSMUSG00000020010,ENSMUSG00000020926,ENSMUSG00000024130,ENSMUSG00000024992,ENSMUSG00000027792,ENSMUSG00000027820,ENSMUSG00000028024,ENSMUSG00000029102,ENSMUSG00000031443,ENSMUSG00000032849,ENSMUSG00000037370,ENSMUSG00000040584,ENSMUSG00000044254,ENSMUSG00000044350,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000078964"
"Up-regulated",TRUE,0.0357368777765377,2,107,1,0.00934579439252336,0.5,"GO:0016795","GO:MF","phosphoric triester hydrolase activity",23512,2900,"GO:0042578","ISS IEA","ENSMUSG00000002588"
"Up-regulated",TRUE,0.0357368777765377,31,107,2,0.0186915887850467,0.0645161290322581,"GO:0033764","GO:MF","steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",23512,4369,"GO:0016229;GO:0016616","IDA IMP IEA,IEA","ENSMUSG00000016194,ENSMUSG00000069456"
"Up-regulated",TRUE,0.0357368777765377,2,107,1,0.00934579439252336,0.5,"GO:0036130","GO:MF","prostaglandin H2 endoperoxidase reductase activity",23512,4854,"GO:0016616","IEA","ENSMUSG00000052131"
"Up-regulated",TRUE,0.0357368777765377,1985,107,17,0.158878504672897,0.00856423173803527,"GO:0017076","GO:MF","purine nucleotide binding",23512,3041,"GO:0000166","IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA","ENSMUSG00000006494,ENSMUSG00000011148,ENSMUSG00000016194,ENSMUSG00000020532,ENSMUSG00000020917,ENSMUSG00000024130,ENSMUSG00000024899,ENSMUSG00000024992,ENSMUSG00000027605,ENSMUSG00000027952,ENSMUSG00000030541,ENSMUSG00000032418,ENSMUSG00000032849,ENSMUSG00000037370,ENSMUSG00000040181,ENSMUSG00000040584,ENSMUSG00000042010"
