"","SRR33445252","SRR33445253","SRR33445254","SRR33445260","SRR33445261","SRR33445262"
"ENSMUSG00000025902.13",65.0563519998517,36.0596928464874,48.4646296174785,40.2605784284642,58.0212053592913,49.1355261634652
"ENSMUSG00000103922.1",13.9406468571111,22.3818783185094,5.28705050372493,25.6203680908408,25.2672991080785,7.89678099055691
"ENSMUSG00000033845.13",1297.64187828276,1191.21330161844,1305.0202993361,1414.61032387285,1470.18247773301,1287.17530146078
"ENSMUSG00000025903.14",1599.6892268535,1875.10402801734,1342.91082794613,1668.98397848906,1722.85546881379,1584.62071877175
"ENSMUSG00000033813.15",889.877957712257,708.759480086131,675.861289392837,714.625267105239,809.489397351403,678.245745077832
"ENSMUSG00000033793.12",1254.65821714,1327.99144689822,1036.26189873009,1063.24527576989,1001.33370539422,1400.36249565876
"ENSMUSG00000025907.14",966.551515426368,1216.08205530568,844.165730428081,1116.31603824378,1239.03348218874,936.207257436025
"ENSMUSG00000090031.2",0,17.4081275810629,7.04940067163324,11.895170899319,10.2940848218097,8.77420110061879
"ENSMUSG00000051285.17",2848.53884113636,3548.7711511681,2538.66541687192,3001.24311921278,3407.34207601903,2840.2088962703
"ENSMUSG00000048538.7",441.453817141851,497.375073744653,351.588858497708,433.716231252091,449.196428588062,377.290647326608
"ENSMUSG00000103933.1",19.7492497142407,14.9212522123396,22.0293770988539,14.6402103376233,17.7806919649441,9.65162121068067
"ENSMUSG00000061024.8",386.852950284833,757.253549776234,457.329868572207,762.205950702515,591.441964307615,245.677630817326
"ENSMUSG00000025911.14",1848.29742913864,2133.73906636456,1392.25663264757,1779.70056916734,1699.4598214915,1800.46606584698
"ENSMUSG00000025912.16",18.5875291428148,0,0,4.57506573050729,14.0373883933769,28.954863632042
"ENSMUSG00000045210.8",588.992329712943,1013.40171275473,757.810572200573,981.809105766865,1039.70256700278,775.639377294701
"ENSMUSG00000097893.8",5.80860285712962,6.21718842180816,28.197602686533,17.3852497759277,19.6523437507277,27.2000234119182
"ENSMUSG00000025915.14",199.815938285259,259.878476031581,297.837178376504,274.503943830437,335.961495548154,249.187311257574
"ENSMUSG00000098234.7",116.172057142592,101.961890117654,93.4045588991405,159.212287421654,114.170758932799,102.65815287724
"ENSMUSG00000099032.2",37.1750582856296,79.5800117991445,215.887895568768,99.7364329250589,176.871093756549,171.974341572128
"ENSMUSG00000025917.9",967.713235997794,1089.25141150079,913.778562060459,916.843172393661,1048.12500003881,885.316891052436
"ENSMUSG00000056763.16",427.51317028474,320.806922565301,322.510080727221,345.874969226351,330.346540190804,308.851878741781
"ENSMUSG00000067851.11",1954.0140011384,2362.5316002871,2105.12727556648,2346.09370660414,2329.27064740768,2062.81467875548
"ENSMUSG00000048960.13",83.6438811426665,213.871281710201,212.363195232951,312.019482820597,214.304129472221,298.322837421039
