"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000025902.13",49.499664069173,-0.00181549777170405,0.1251538192685,0.958550133721358,0.995721718915874
"ENSMUSG00000103922.1",16.7323373114703,0.0126019275695935,0.130129468744523,0.533966836896914,0.941626873209266
"ENSMUSG00000033845.13",1327.64059705066,0.0641409974296374,0.107349867003315,0.354994468751157,0.877109626866199
"ENSMUSG00000025903.14",1632.3607081486,0.0167927713552967,0.106354119610166,0.789959232011287,0.983820909596084
"ENSMUSG00000033813.15",746.143189454283,-0.0146589514043677,0.108625855568411,0.809592207576653,0.985868230961442
"ENSMUSG00000033793.12",1180.6421732652,-0.0181536608046973,0.111210719023566,0.761092647130145,0.981526923425682
"ENSMUSG00000025907.14",1053.05934650478,0.0352708016894756,0.115336081259775,0.561039622060368,0.948037791699512
"ENSMUSG00000090031.2",9.2368308457406,0.00427563323869759,0.130143317810533,0.768061464681817,0.981526923425682
"ENSMUSG00000051285.17",3030.79491677975,0.0170153676281981,0.107538919425076,0.785967626607706,0.982966579951533
"ENSMUSG00000048538.7",425.103509425162,-0.0085946186884115,0.111959850808912,0.880643352586882,0.992265267486268
"ENSMUSG00000103933.1",16.4620670897804,-0.0167960108984258,0.129855170888482,0.504342575574136,0.935540111320974
"ENSMUSG00000061024.8",533.460319076788,8.47344461030238e-06,0.12441635951726,0.997019420748952,0.9990985288308
"ENSMUSG00000025911.14",1775.65326410943,-0.00745929376556016,0.109145245539679,0.899449183363701,0.992884110171687
"ENSMUSG00000025912.16",11.0258078164568,0.00913911070316423,0.130919381282395,0.380635330220383,0.889271588623818
"ENSMUSG00000045210.8",859.559277455433,0.0581188517862187,0.12895656615726,0.317816022530662,0.857227570864418
"ENSMUSG00000097893.8",17.4101684840074,0.0162849223107781,0.130709943740669,0.427854485522104,0.904869181531502
"ENSMUSG00000025915.14",269.530723888252,0.03940923532171,0.122531737583438,0.476941344482934,0.923897519832741
"ENSMUSG00000098234.7",114.59661756518,0.0430119503565905,0.12904480153085,0.379819128409761,0.889234654925899
"ENSMUSG00000099032.2",130.204138984546,0.0222052676641166,0.130111554800776,0.448889717676112,0.910467480995618
"ENSMUSG00000025917.9",970.171378840658,-0.022631547431265,0.104556974554164,0.724205082900501,0.980281145947843
"ENSMUSG00000056763.16",342.6505936227,-0.0329495090654569,0.115523636231886,0.576071183132311,0.948953945915544
"ENSMUSG00000067851.11",2193.30865162655,0.029752117687624,0.102046317872445,0.652424445413564,0.966859740428072
"ENSMUSG00000048960.13",222.420801299946,0.0883878601145957,0.165146966525334,0.0664503183847547,0.50991113524563
"ENSMUSG00000016918.15",13.8396939160166,-0.000600737653274004,0.129710474063944,0.969116454639448,0.997552786349967
"ENSMUSG00000005886.14",1452.42778672182,0.148518053024099,0.131925954358498,0.0759583673288868,0.53855476855894
"ENSMUSG00000025935.10",3528.01090503899,-0.0755817714657446,0.123148326715977,0.26306150242021,0.816888616409655
"ENSMUSG00000025937.6",7081.58930078808,0.0397993394633492,0.116978920257643,0.509270363105913,0.937350665168674
"ENSMUSG00000102982.1",9.52888321627736,0.0174286577106126,0.131863635190165,0.211178528579963,0.774577978883683
"ENSMUSG00000067813.3",311.967952244222,0.0207630136170814,0.123741007112921,0.646816401885539,0.965639262985629
"ENSMUSG00000082193.1",10.5331237622419,-0.00602676729175643,0.13033035338835,0.653987629278218,0.966884555151908
"ENSMUSG00000025925.14",234.208172625917,0.0532292874941673,0.127415415669878,0.354057989346877,0.876436028952615
"ENSMUSG00000043716.13",6081.55459942002,-0.00787248581000867,0.0935207971867,0.902766967351392,0.992927974407461
"ENSMUSG00000025921.7",689.178996725675,0.109710058512415,0.14930472913691,0.130407350354912,0.668439495705522
"ENSMUSG00000025920.19",120.398000124439,0.0617817301396253,0.140510028921107,0.199327324082178,0.764850005976354
"ENSMUSG00000025939.18",325.780355288628,0.0106064190605903,0.114177208305405,0.852308843040824,0.98889178320006
"ENSMUSG00000079658.9",407.9364002457,0.0326760561794404,0.110414152914325,0.604210173756267,0.959391458802661
"ENSMUSG00000025940.6",678.028600609907,-0.0166726377262353,0.1005152400165,0.79595679024027,0.984418957528014
"ENSMUSG00000025779.10",73.1687902724142,-0.0432241060823293,0.13000712641475,0.362029393449276,0.881503698626881
"ENSMUSG00000042686.5",52.6427878227023,-0.000149344142539057,0.127717966597925,0.992784699330722,0.998853859167722
"ENSMUSG00000043760.16",228.868400449395,0.0870693502269056,0.165746906730425,0.0558566044436915,0.476965947344827
"ENSMUSG00000041859.10",167.53601564934,-0.000869113238644826,0.119765561642913,0.98912959784229,0.998813742602326
"ENSMUSG00000025931.15",18.9100102699639,-0.0074995757460399,0.129799783969875,0.683317508657327,0.972499653518457
"ENSMUSG00000041779.5",338.180794004181,-0.168519617900963,0.221919981244088,0.0457105092216888,0.433142449764872
"ENSMUSG00000025933.15",60.6720530068797,0.0242449696521921,0.128879548183576,0.490031946784061,0.930063329649058
"ENSMUSG00000025934.15",26188.5964703198,0.0310911834225603,0.12103109279693,0.564620214067486,0.94809410362859
"ENSMUSG00000026158.11",534.872245130454,-0.0531557903387802,0.124525842414635,0.370349426636613,0.884219712835859
"ENSMUSG00000026155.13",264.615012954902,-0.0866446448180238,0.135232207671279,0.202923479971351,0.768333144026078
"ENSMUSG00000026154.4",82.046056675209,-0.0737013094506637,0.151906974615725,0.104437030326231,0.61420459264209
"ENSMUSG00000026153.15",333.67627231885,0.0398067775489521,0.117067795219185,0.512058255067722,0.938804418930086
"ENSMUSG00000100131.1",506.972782014089,-0.110939516685173,0.153722423615134,0.123454025673256,0.655191562322422
"ENSMUSG00000067736.2",252.579005200903,-0.0894834978921008,0.136178325823225,0.193458418997161,0.758587579476196
"ENSMUSG00000101939.1",61.4198165770778,-0.0324415338847397,0.132514443907818,0.305621301834551,0.852334724681982
"ENSMUSG00000101111.1",853.826589201055,-0.0832198977652653,0.141616765316072,0.189584176464772,0.757100053545224
"ENSMUSG00000100862.1",1452.07750461369,-0.117677358783654,0.138279978245781,0.116795081353787,0.641917072811349
"ENSMUSG00000102070.1",771.98266897476,-0.0868216869453009,0.129690181528292,0.213447525345403,0.776829827962942
"ENSMUSG00000101249.1",492.83703999207,0.00640704932466998,0.118445401642256,0.902450854152174,0.992927974407461
"ENSMUSG00000073725.8",1466.84143196816,-0.00154965266855434,0.0983942138256351,0.970949243527845,0.99782101372519
"ENSMUSG00000101514.1",197.781614931412,0.00804408127266964,0.120833919934526,0.866443926116756,0.990903189052357
"ENSMUSG00000099492.1",11.7832000869461,0.0165709788304255,0.131506111683177,0.285870438231156,0.835048415045535
"ENSMUSG00000048874.15",1590.42291918939,0.00302193779331562,0.114178014563149,0.960617427526942,0.996055193725032
"ENSMUSG00000026064.16",30.1863039722498,0.0113001976849728,0.129143961256003,0.647954228942294,0.965639262985629
"ENSMUSG00000117310.2",11.7649529643019,0.0122233263498668,0.131266634108245,0.261242716098788,0.81627260839443
"ENSMUSG00000070960.4",19.9140515155743,0.0251031546404594,0.132944575858037,0.201010507449263,0.767261847490666
"ENSMUSG00000026134.11",68.0654676464474,0.0242668652965758,0.126361929133237,0.559543223468729,0.948037791699512
"ENSMUSG00000004768.14",208.657999601283,0.0429946919419217,0.132932861595208,0.308081934028838,0.852334724681982
"ENSMUSG00000042215.8",63.3527375220171,-0.0146707591808578,0.12709785436522,0.665232671353453,0.96858042036273
"ENSMUSG00000042197.13",266.856733696976,-0.0934450012481967,0.137316561205615,0.181475136782384,0.745086143170842
"ENSMUSG00000026131.20",2761.78554200027,-0.00296962021349871,0.119350943915797,0.949689234890599,0.995087728380344
"ENSMUSG00000042111.9",235.868259078579,0.029769628226281,0.120224584775222,0.581175796618866,0.952329898849562
"ENSMUSG00000026127.13",542.044153798654,-0.0844340314315003,0.119702341502855,0.237003078842973,0.796921692205595
"ENSMUSG00000037503.12",1609.64382183804,0.058245122405898,0.110747523903192,0.390347250325819,0.889865222407427
"ENSMUSG00000026123.11",454.970962332764,-0.00744563605641012,0.110516464821564,0.898716455637026,0.992669490236015
"ENSMUSG00000045216.7",4288.97859178835,0.043559772678718,0.128313719823771,0.382816977701723,0.889271588623818
"ENSMUSG00000102202.1",20.4292423250226,-0.0172947552964096,0.130950566233545,0.388342454964697,0.889865222407427
"ENSMUSG00000037470.14",2502.68684065084,-0.0578773066464661,0.104112072185012,0.396535620561602,0.893468382576796
"ENSMUSG00000047180.8",209.7937464259,0.0432360516389561,0.129877749129747,0.366636212545382,0.882993919933686
"ENSMUSG00000037447.16",54.6877429131564,0.0110719400962457,0.128208537418876,0.700136540478345,0.976101250146097
"ENSMUSG00000010453.12",1294.39678744327,-0.019713157182013,0.113013278796226,0.758270293219116,0.980906719894923
"ENSMUSG00000037432.15",75.2132995400452,-0.0636125389520294,0.141958559387872,0.183543801377915,0.747970727063225
"ENSMUSG00000001143.13",396.908935438943,-0.247641912207484,0.267450331807149,0.0220713665180385,0.289642974781454
"ENSMUSG00000037408.10",141.111922293579,-0.0296094310445706,0.126054075508619,0.509782777118024,0.93772061196589
"ENSMUSG00000001138.13",421.24692899063,-0.0161681584145563,0.118814261789319,0.752349872800614,0.98087399567468
"ENSMUSG00000079610.9",32.6317143270626,-0.00104800112530978,0.127092068460829,0.970044028053865,0.99782101372519
"ENSMUSG00000026121.13",101.289640700065,-0.0189868440882954,0.126177437615989,0.623815201177505,0.964053662215755
"ENSMUSG00000087589.3",9.75290481223117,0.00644128097148164,0.130240463838897,0.663355166902744,0.96764778878665
"ENSMUSG00000061518.11",3564.81697132145,0.048806929031304,0.110594036306556,0.445640146168707,0.909350238036862
"ENSMUSG00000037351.9",1732.94116238614,-0.0100170227020059,0.100891692608819,0.875824981385364,0.991201102350992
"ENSMUSG00000026117.10",296.963662666891,-0.0334290913459574,0.120745647493843,0.539764485504299,0.943101354611228
"ENSMUSG00000026116.11",1318.50935211209,0.00337885064367073,0.112908025170302,0.958579966253642,0.995721718915874
"ENSMUSG00000050122.19",21.9517886389131,-0.0141971055248808,0.13073429648349,0.426816657714827,0.904304146446355
"ENSMUSG00000026113.17",472.899877338047,0.0500585098097265,0.130058018674905,0.339692672975944,0.869022461035864
"ENSMUSG00000026112.7",1989.5276538336,-0.0159465750354937,0.104559356086429,0.799716991766865,0.984595170155568
"ENSMUSG00000026111.15",426.615895406755,-0.0518611435972803,0.122469810495467,0.391137964670207,0.890216421366144
"ENSMUSG00000026110.15",39.1631793143583,0.0189226308903539,0.129962264314853,0.481297870046346,0.926600397610417
"ENSMUSG00000060771.15",32.6646311719955,0.00801365245654319,0.130074673394517,0.641366844260251,0.965109855273657
"ENSMUSG00000037216.5",96.7796576324504,0.0372129758679301,0.129712597497018,0.392218043188167,0.891474420094596
"ENSMUSG00000026088.15",132.387402238838,0.0289516630571286,0.120068197060941,0.592445677886844,0.956427600728301
"ENSMUSG00000026087.11",699.151489086981,-0.00143119719324825,0.107322703192941,0.98068257086013,0.99846380669172
"ENSMUSG00000058407.12",776.910854107127,-0.0487358893769795,0.115866181273417,0.443319954555432,0.909350238036862
"ENSMUSG00000026083.12",1970.31687612117,-0.00895573629904428,0.100703008112417,0.888570952017055,0.992366271444739
"ENSMUSG00000026082.11",166.950017777469,0.0402708651814292,0.129922868373692,0.376003597555829,0.886235682237182
"ENSMUSG00000037138.18",18.6578487106494,-0.0301505796567051,0.133535798518633,0.223334886383218,0.784083913304093
"ENSMUSG00000026078.10",348.354641144698,0.0618490122419761,0.131456392864104,0.289438106375501,0.838126760974706
"ENSMUSG00000073702.11",3005.41618465016,-0.0322453992713138,0.0968356032265615,0.640471463687369,0.965058637318808
"ENSMUSG00000003134.10",670.315154824018,0.041455514087584,0.132426413602798,0.320974551511526,0.858918864376124
"ENSMUSG00000003135.15",474.154091074634,-0.0831904523452462,0.126667615875519,0.233709281356149,0.795373888753915
"ENSMUSG00000085894.1",18.3424581221144,0.011677234711841,0.129286400815814,0.62969872240094,0.964518581706429
"ENSMUSG00000048234.13",1674.21690261996,0.0583799738613887,0.116614839125446,0.375363044544575,0.88601529125369
"ENSMUSG00000026074.15",491.880121953676,0.00453067087483632,0.124989222146513,0.904182419390082,0.992927974407461
"ENSMUSG00000026072.12",778.151137251122,-0.133962979519647,0.239567281812888,0.0121826865646377,0.211791286665098
"ENSMUSG00000070942.8",11.7409000579787,-0.00559243123295694,0.129298457906754,0.785558347003889,0.982966579951533
"ENSMUSG00000041945.12",15.0299733509879,-0.00658945596166046,0.129628104680454,0.729385281062336,0.980663925976839
"ENSMUSG00000060679.14",451.079986179064,0.0169179252991791,0.108271409467529,0.785945944253231,0.982966579951533
"ENSMUSG00000070939.9",1161.04472075011,-0.0205309048927144,0.109454785074794,0.736383841796925,0.98087399567468
"ENSMUSG00000010290.7",173.345607839421,-0.030704591257198,0.121703935784442,0.55691084896022,0.948037791699512
"ENSMUSG00000008136.14",11.1083084031557,-0.00378185501235719,0.12962482564068,0.83214232621538,0.986189227537186
"ENSMUSG00000094497.1",8.74001448224282,-0.0251919202185336,0.133879271088901,0.0570182598807019,0.480190477095596
"ENSMUSG00000066877.11",100.158464539761,0.0506493906119563,0.137331917927728,0.221874985297487,0.782632753035104
"ENSMUSG00000057363.12",254.833300828734,0.0199136766180331,0.121103312716269,0.688270122848468,0.973045341348321
"ENSMUSG00000100701.1",15.2171863445853,-0.0157976921477549,0.13005833499139,0.497771116564773,0.93477488250627
