"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUST00000226445.1|ENSMUSG00000115801.1|OTTMUSG00000070529.1|OTTMUST00000170496.1|AC160336.1-201|AC160336.1|93147|lncRNA|",26405.0898465617,-0.705425562542942,0.0977250903033593,-7.21846928309968,5.25760094059001e-13,7.84784567065402e-10
"ENSMUST00000006094.5|ENSMUSG00000022445.7|OTTMUSG00000071025.1|OTTMUST00000171736.1|Cyp2d26-201|Cyp2d26|1700|protein_coding|",24126.0185754433,0.520051885223361,0.0721143408172428,7.21149052088423,5.53427013166936e-13,7.8853287066958e-10
"ENSMUST00000004232.9|ENSMUSG00000074207.10|OTTMUSG00000034747.1|OTTMUST00000088306.1|Adh1-201|Adh1|1492|protein_coding|",59219.1740183173,0.431680793865482,0.060775327459511,7.10289540032624,1.2216987193951e-12,1.66501600252864e-09
"ENSMUST00000164556.7|ENSMUSG00000019854.17|OTTMUSG00000033574.7|-|Reps1-210|Reps1|2537|protein_coding|",120.728881884025,8.41420575827179,1.18688171201549,7.08933811439666,1.3475492955929e-12,1.76001167581897e-09
"ENSMUST00000167063.1|ENSMUSG00000038388.14|OTTMUSG00000035974.4|OTTMUST00000092310.1|Mpp6-204|Mpp6|637|processed_transcript|",74.0197909036063,-9.78153382427443,1.38916541006409,-7.04130246363044,1.90451075565812e-12,2.38795176587438e-09
"ENSMUST00000114321.1|ENSMUSG00000059486.11|OTTMUSG00000057740.3|OTTMUST00000057261.1|Kbtbd2-201|Kbtbd2|3868|protein_coding|",65.871803120071,9.35203469055904,1.33885861795715,6.98508010115997,2.84693503614937e-12,3.43230867858224e-09
"ENSMUST00000236340.1|ENSMUSG00000117780.1|OTTMUSG00000073448.1|OTTMUST00000178282.1|Gm3734-201|Gm3734|2424|lncRNA|",617.563393823888,-3.22140496486777,0.462252670712689,-6.96892666926314,3.19368102270697e-12,3.70774538288047e-09
"ENSMUST00000193078.5|ENSMUSG00000040181.14|OTTMUSG00000024069.4|OTTMUST00000130757.2|Fmo1-207|Fmo1|750|protein_coding|",75.6211129943866,9.55326783336439,1.37697950033823,6.93784317850615,3.98131305003739e-12,4.45707995951686e-09
"ENSMUST00000085044.13|ENSMUSG00000006676.16|OTTMUSG00000050758.6|OTTMUST00000128645.1|Usp19-202|Usp19|4520|protein_coding|",75.5445402782873,9.54966098014697,1.38399135099942,6.90008718136198,5.19706347387746e-12,5.61748798800561e-09
"ENSMUST00000077719.3|ENSMUSG00000066153.2|OTTMUSG00000000231.3|OTTMUST00000000674.3|Mup21-201|Mup21|677|protein_coding|",2020.33214408282,-4.77893882311889,0.69494349014659,-6.87673010953859,6.12419770243816e-12,6.39897003935422e-09
