ENSMUSG00000088585.1	0	0	0
ENSMUSG00000048960.13	229	225	4
ENSMUSG00000077318.1	0	0	0
ENSMUSG00000101827.1	0	0	0
ENSMUSG00000103494.1	0	0	0
ENSMUSG00000057715.13	0	0	0
ENSMUSG00000103825.1	0	0	0
ENSMUSG00000099845.1	0	0	0
ENSMUSG00000103561.1	0	0	0
ENSMUSG00000101610.1	6	6	0
ENSMUSG00000093864.1	0	0	0
ENSMUSG00000098555.1	0	0	0
ENSMUSG00000097628.1	0	0	0
ENSMUSG00000098163.1	0	0	0
ENSMUSG00000097171.1	0	0	0
ENSMUSG00000101314.1	0	0	0
ENSMUSG00000016918.15	10	10	0
ENSMUSG00000025938.16	0	0	0
ENSMUSG00000104518.1	0	0	0
ENSMUSG00000069620.6	0	0	0
ENSMUSG00000099498.1	0	0	0
ENSMUSG00000042414.7	0	0	0
ENSMUSG00000005886.14	1729	1709	20
ENSMUSG00000103506.1	0	0	0
ENSMUSG00000103495.1	0	0	0
ENSMUSG00000099183.1	0	0	0
ENSMUSG00000102639.1	0	0	0
ENSMUSG00000104170.1	0	0	0
ENSMUSG00000087782.1	0	0	0
ENSMUSG00000103085.1	0	0	0
ENSMUSG00000102664.1	0	0	0
ENSMUSG00000101476.1	0	0	0
ENSMUSG00000101171.1	1	1	0
ENSMUSG00000025935.10	3601	3570	31
ENSMUSG00000025937.6	9037	9005	32
ENSMUSG00000102982.1	11	11	0
ENSMUSG00000067813.3	399	397	2
ENSMUSG00000077368.1	0	0	0
ENSMUSG00000097711.1	0	0	0
ENSMUSG00000102166.1	0	0	0
ENSMUSG00000089358.1	0	0	0
ENSMUSG00000104209.1	0	0	0
ENSMUSG00000025932.14	0	0	0
ENSMUSG00000095853.1	0	0	0
ENSMUSG00000102588.1	0	0	0
ENSMUSG00000054493.2	0	4	4
ENSMUSG00000025930.6	0	4	4
ENSMUSG00000103492.1	0	0	0
ENSMUSG00000081201.1	0	0	0
ENSMUSG00000082193.1	9	9	0
ENSMUSG00000032769.5	0	0	0
ENSMUSG00000088159.1	0	0	0
ENSMUSG00000073737.3	3	3	0
ENSMUSG00000092083.4	0	0	0
ENSMUSG00000102937.1	0	0	0
ENSMUSG00000104149.1	0	0	0
ENSMUSG00000088829.1	0	0	0
ENSMUSG00000077377.1	0	0	0
